회사명,종목코드,상장일
바이오노트,377740,2022-12-22
유니드비티플러스,446070,2022-11-28
LX세미콘,108320,2022-11-03
KB스타리츠,432320,2022-10-06
쏘카,403550,2022-08-22
수산인더스트리,126720,2022-08-01
마스턴프리미어리츠,357430,2022-05-31
코람코더원리츠,417310,2022-03-28
LG에너지솔루션,373220,2022-01-27
신한서부티엔디리츠,404990,2021-12-10
미래에셋글로벌리츠,396690,2021-12-03
SK스퀘어,402340,2021-11-29
NH올원리츠,400760,2021-11-18
카카오페이,377300,2021-11-03
케이카,381970,2021-10-13
현대중공업,329180,2021-09-17
SK리츠,395400,2021-09-14
일진하이솔루스,271940,2021-09-01
디앤디플랫폼리츠,377190,2021-08-27
아주스틸,139990,2021-08-20
롯데렌탈,089860,2021-08-19
한컴라이프케어,372910,2021-08-17
크래프톤,259960,2021-08-10
PI첨단소재,178920,2021-08-09
카카오뱅크,323410,2021-08-06
에스디바이오센서,137310,2021-07-16
엠씨넥스,097520,2021-07-06
LX홀딩스,383800,2021-05-27
F&F,383220,2021-05-21
엔에이치스팩19호,380440,2021-05-21
SK아이이테크놀로지,361610,2021-05-11
SK바이오사이언스,302440,2021-03-18
화승알앤에이,378850,2021-03-15
프레스티지바이오파마,950210,2021-02-05
솔루엠,248070,2021-02-02
DL이앤씨,375500,2021-01-25
ESR켄달스퀘어리츠,365550,2020-12-23
명신산업,009900,2020-12-07
에이플러스에셋,244920,2020-11-20
교촌에프앤비,339770,2020-11-12
하이브,352820,2020-10-15
티와이홀딩스,363280,2020-09-22
코람코에너지리츠,357120,2020-08-31
제이알글로벌리츠,348950,2020-08-07
미래에셋맵스리츠,357250,2020-08-05
이지스레지던스리츠,350520,2020-08-05
이지스밸류플러스리츠,334890,2020-07-16
에스케이바이오팜,326030,2020-07-02
대덕전자,353200,2020-05-21
케이씨씨글라스,344820,2020-01-21
NH프라임리츠,338100,2019-12-05
센트랄모텍,308170,2019-11-25
현대에너지솔루션,322000,2019-11-19
한화시스템,272210,2019-11-13
자이에스앤디,317400,2019-11-06
롯데리츠,330590,2019-10-30
지누스,013890,2019-10-30
두산퓨얼셀,336260,2019-10-18
솔루스첨단소재,336370,2019-10-18
콘텐트리중앙,036420,2019-10-18
포스코케미칼,003670,2019-05-29
현대오토에버,307950,2019-03-28
드림텍,192650,2019-03-14
더블유게임즈,192080,2019-03-12
우리금융지주,316140,2019-02-13
에어부산,298690,2018-12-27
아시아나IDT,267850,2018-11-23
세아제강,306200,2018-10-05
하나제약,293480,2018-10-02
우진아이엔에스,010400,2018-09-14
신한알파리츠,293940,2018-08-08
한일시멘트,300720,2018-08-06
티웨이항공,091810,2018-08-01
롯데정보통신,286940,2018-07-27
효성중공업,298040,2018-07-13
효성첨단소재,298050,2018-07-13
효성티앤씨,298020,2018-07-13
효성화학,298000,2018-07-13
이리츠코크렙,088260,2018-06-27
HDC현대산업개발,294870,2018-06-12
애경산업,018250,2018-03-22
셀트리온,068270,2018-02-09
쿠쿠홈시스,284740,2018-01-11
SK케미칼,285130,2018-01-05
BGF리테일,282330,2017-12-08
동양피스톤,092780,2017-12-08
진에어,272450,2017-12-08
케이씨텍,281820,2017-12-05
동아타이어,282690,2017-11-29
삼양패키징,272550,2017-11-29
테이팩스,055490,2017-10-31
롯데제과,280360,2017-10-30
제일약품,271980,2017-07-17
카카오,035720,2017-07-10
오리온,271560,2017-07-07
미원에스씨,268280,2017-05-22
경동도시가스,267290,2017-05-12
넷마블,251270,2017-05-12
HD현대,267250,2017-05-10
현대건설기계,267270,2017-05-10
현대일렉트릭,267260,2017-05-10
크라운제과,264900,2017-04-11
덴티움,145720,2017-03-15
호전실업,111110,2017-02-02
핸즈코퍼레이션,143210,2016-12-02
두산밥캣,241560,2016-11-18
삼성바이오로직스,207940,2016-11-10
JW생명과학,234080,2016-10-27
화승엔터프라이즈,241590,2016-10-04
LS전선아시아,229640,2016-09-22
모두투어리츠,204210,2016-09-22
일동제약,249420,2016-08-31
샘표식품,248170,2016-08-09
두올,016740,2016-07-29
동서,026960,2016-07-15
한국자산신탁,123890,2016-07-13
한국토지신탁,034830,2016-07-11
해성디에스,195870,2016-06-24
용평리조트,070960,2016-05-27
해태제과식품,101530,2016-05-11
삼일씨엔에스,004440,2016-03-30
제이에스코퍼레이션,194370,2016-02-04
잇츠한불,226320,2015-12-28
세진중공업,075580,2015-11-30
금호에이치티,214330,2015-11-11
제주항공,089590,2015-11-06
현대코퍼레이션홀딩스,227840,2015-10-23
LIG넥스원,079550,2015-10-02
HDC랩스,039570,2015-09-24
동일제강,002690,2015-09-24
AJ네트웍스,095570,2015-08-21
이노션,214320,2015-07-17
토니모리,214420,2015-07-10
미래에셋생명,085620,2015-07-08
경보제약,214390,2015-06-29
SK디앤디,210980,2015-06-23
다이나믹디자인,145210,2015-03-19
한솔제지,213500,2015-01-26
디와이파워,210540,2015-01-15
삼성물산,028260,2014-12-18
씨에스윈드,112610,2014-11-27
삼성에스디에스,018260,2014-11-14
HL만도,204320,2014-10-06
서연이화,200880,2014-08-08
쿠쿠홀딩스,192400,2014-08-06
화인베스틸,133820,2014-07-22
BGF,027410,2014-05-19
코스맥스,192820,2014-04-07
종근당,185750,2013-12-06
신송홀딩스,006880,2013-11-21
아세아시멘트,183190,2013-11-06
현대로템,064350,2013-10-30
한진칼,180640,2013-09-16
엔에이치엔,181710,2013-08-29
JB금융지주,175330,2013-07-18
DSR,155660,2013-05-15
한국패러랠,168490,2013-04-19
동아에스티,170900,2013-04-08
지엠비코리아,013870,2012-11-20
LG헬로비전,037560,2012-11-09
동일고무벨트,163560,2012-10-19
한국콜마,161890,2012-10-19
한국타이어앤테크놀로지,161390,2012-10-04
애경케미칼,161000,2012-09-17
SK렌터카,068400,2012-07-27
바다로19호,155900,2012-06-29
사조씨푸드,014710,2012-06-29
한국ANKOR유전,152550,2012-03-08
휴비스,079980,2012-02-23
케이탑리츠,145270,2012-01-31
GS리테일,007070,2011-12-23
인터지스,129260,2011-12-16
삼양사,145990,2011-12-05
하나투어,039130,2011-11-01
에이블씨엔씨,078520,2011-09-07
삼원강재,023000,2011-07-22
신세계인터내셔날,031430,2011-07-14
에이리츠,140910,2011-07-14
한국항공우주,047810,2011-06-30
롯데하이마트,071840,2011-06-29
한세엠케이,069640,2011-06-21
코오롱플라스틱,138490,2011-06-15
이마트,139480,2011-06-10
DGB금융지주,139130,2011-06-07
케이티스카이라이프,053210,2011-06-03
세아특수강,019440,2011-06-01
메리츠금융지주,138040,2011-05-13
한국종합기술,023350,2011-04-28
BNK금융지주,138930,2011-03-30
일진머티리얼즈,020150,2011-03-04
현대위아,011210,2011-02-21
선진,136490,2011-02-16
미원화학,134380,2011-02-15
시디즈,134790,2011-01-25
HSD엔진,082740,2011-01-04
대성에너지,117580,2010-12-24
현대퓨처넷,126560,2010-12-23
KTis,058860,2010-12-17
한전산업,130660,2010-12-16
엘브이엠씨,900140,2010-11-30
비케이탑스,030790,2010-11-02
휠라홀딩스,081660,2010-09-28
KTcs,058850,2010-09-16
현대홈쇼핑,057050,2010-09-13
도화엔지니어링,002150,2010-08-12
대성산업,128820,2010-07-30
아이마켓코리아,122900,2010-07-30
한미약품,128940,2010-07-30
우진,105840,2010-07-26
무학,033920,2010-07-20
이연제약,102460,2010-06-10
한국화장품,123690,2010-06-01
에스제이엠,123700,2010-05-31
HL홀딩스,060980,2010-05-19
삼성생명,032830,2010-05-12
신세계푸드,031440,2010-04-29
한화생명,088350,2010-03-17
조선선재,120030,2010-02-19
코오롱인더,120110,2010-02-01
KC코트렐,119650,2010-01-29
지역난방공사,071320,2010-01-29
락앤락,115390,2010-01-28
영흥,012160,2010-01-25
초록뱀헬스케어,118000,2009-12-30
한전기술,052690,2009-12-14
GKL,114090,2009-11-19
SK,034730,2009-11-11
황금에스티,032560,2009-10-29
하이트진로,000080,2009-10-19
동양생명,082640,2009-10-08
유니온머티리얼,047400,2009-09-29
형지엘리트,093240,2009-09-28
키움증권,039490,2009-08-03
영원무역,111770,2009-07-30
한미글로벌,053690,2009-06-23
동아지질,028100,2009-06-12
STX중공업,071970,2009-05-15
LX하우시스,108670,2009-04-20
한세실업,105630,2009-03-20
컨버즈,109070,2009-03-17
미원홀딩스,107590,2009-03-02
NAVER,035420,2008-11-28
부국철강,026940,2008-10-14
KB금융,105560,2008-10-10
한국철강,104700,2008-09-29
일진전기,103590,2008-08-01
풍산,103140,2008-07-30
LG이노텍,011070,2008-07-24
명문제약,017180,2008-07-10
비상교육,100220,2008-06-30
동성케미컬,102260,2008-06-23
쌍방울,102280,2008-06-10
LG유플러스,032640,2008-04-21
인바이오젠,101140,2008-04-02
아시아나항공,020560,2008-03-28
SNT에너지,100840,2008-02-22
진양홀딩스,100250,2008-02-15
엔케이,085310,2008-01-24
한전KPS,051600,2007-12-14
이아이디,093230,2007-11-01
기신정기,092440,2007-10-30
KSS해운,044450,2007-10-26
효성 ITX,094280,2007-10-25
유나이티드,033270,2007-10-23
디아이씨,092200,2007-10-18
CJ제일제당,097950,2007-09-28
팬오션,028670,2007-09-21
HJ중공업,097230,2007-08-31
JW홀딩스,096760,2007-07-31
SK이노베이션,096770,2007-07-25
삼성카드,029780,2007-06-27
베트남개발1,096300,2007-06-13
알루코,001780,2007-06-07
웅진씽크빅,095720,2007-05-31
맵스리얼티1,094800,2007-04-09
메타랩스,090370,2006-12-26
후성,093370,2006-12-22
LF,093050,2006-12-01
주연테크,044380,2006-11-15
코스맥스비티아이,044820,2006-11-13
인천도시가스,034590,2006-11-07
삼정펄프,009770,2006-10-17
KEC,092220,2006-10-16
KPX홀딩스,092230,2006-10-12
HDC현대EP,089470,2006-09-25
세원이앤씨,091090,2006-07-31
노루페인트,090350,2006-07-03
아모레퍼시픽,090430,2006-06-29
롯데관광개발,032350,2006-06-08
평화산업,090080,2006-06-02
우진플라임,049800,2006-05-24
신세계I&C,035510,2006-05-18
진도,088790,2006-03-28
맥쿼리인프라,088980,2006-03-15
롯데쇼핑,023530,2006-02-09
현대글로비스,086280,2005-12-26
티비에이치글로벌,084870,2005-12-19
하나금융지주,086790,2005-12-12
제일연마,001560,2005-12-09
현대리바트,079430,2005-11-22
대한제강,084010,2005-10-31
새론오토모티브,075180,2005-10-21
그린케미칼,083420,2005-10-20
대상홀딩스,084690,2005-08-17
코아스,071950,2005-08-04
이월드,084680,2005-07-26
동양고속,084670,2005-07-25
한미반도체,042700,2005-07-22
동일산업,004890,2005-06-30
삼호개발,010960,2005-05-12
금호타이어,073240,2005-02-17
CJ CGV,079160,2004-12-24
일진다이아,081000,2004-12-22
유니드,014830,2004-12-03
상신브레이크,041650,2004-10-27
인팩,023810,2004-09-21
GS,078930,2004-08-05
유니퀘스트,077500,2004-08-05
다스코,058730,2004-08-02
LG디스플레이,034220,2004-07-23
텔코웨어,078000,2004-07-20
STX엔진,077970,2004-05-10
NICE,034310,2004-02-04
대교,019680,2004-02-03
기업은행,024110,2003-12-24
이엔플러스,074610,2003-12-23
한솔홈데코,025750,2003-11-04
이수페타시스,007660,2003-10-07
강원랜드,035250,2003-09-04
YG PLUS,037270,2003-08-01
농심홀딩스,072710,2003-07-30
한국금융지주,071050,2003-07-21
유엔젤,072130,2003-07-01
SBS,034120,2003-06-25
엔씨소프트,036570,2003-05-22
하이스틸,071090,2003-02-17
DSR제강,069730,2003-01-28
태경케미컬,006890,2003-01-28
한농화성,011500,2003-01-09
현대백화점,069960,2002-11-25
대호에이엘,069460,2002-11-11
대웅제약,069620,2002-11-01
마니커,027740,2002-10-29
SNT홀딩스,036530,2002-10-22
티케이지휴켐스,069260,2002-10-07
세종공업,033530,2002-09-25
포스코스틸리온,058430,2002-08-16
삼성출판사,068290,2002-08-05
세이브존I&C,067830,2002-07-25
교보증권,030610,2002-07-18
한샘,009240,2002-07-16
신세계건설,034300,2002-06-17
우신시스템,017370,2002-05-28
LG전자,066570,2002-04-22
한국콜마홀딩스,024720,2002-04-09
SNT모티브,064960,2002-03-11
광주신세계,037710,2002-02-07
일진디스플,020760,2002-01-09
KH 필룩스,033180,2001-12-26
종근당바이오,063160,2001-12-11
신한지주,055550,2001-09-10
코웨이,021240,2001-08-07
세아홀딩스,058650,2001-07-30
LG생활건강,051900,2001-04-25
LG화학,051910,2001-04-25
대우건설,047040,2001-03-23
포스코인터내셔널,047050,2001-03-23
대우조선해양,042660,2001-02-02
현대두산인프라코어,042670,2001-02-02
진양화학,051630,2001-01-29
동원F&B,049770,2000-11-23
두산에너빌리티,034020,2000-10-25
한국내화,010040,2000-10-16
