회사명,종목코드,상장일
티이엠씨,425040,2023-01-19
한주라이트메탈,198940,2023-01-19
옵티코어,380540,2022-12-29
신영스팩9호,445970,2022-12-27
신스틸,162300,2022-12-23
비엔케이제1호스팩,445360,2022-12-22
IBKS제21호스팩,442770,2022-12-16
엔에이치스팩27호,440820,2022-12-16
핑거스토리,417180,2022-12-08
SAMG엔터,419530,2022-12-06
대신밸런스제14호스팩,442310,2022-12-05
엔에이치스팩26호,439410,2022-12-01
유진스팩9호,442130,2022-12-01
대신밸런스제13호스팩,438220,2022-11-28
펨트론,168360,2022-11-24
인벤티지랩,389470,2022-11-22
엔젯,419080,2022-11-18
유비온,084440,2022-11-18
티쓰리,204610,2022-11-17
티에프이,425420,2022-11-17
윤성에프앤씨,372170,2022-11-14
디티앤씨알오,383930,2022-11-11
뉴로메카,348340,2022-11-04
제이아이테크,417500,2022-11-04
엔에이치스팩25호,438580,2022-11-03
케이비제23호스팩,440200,2022-11-03
교보13호스팩,440790,2022-11-02
큐알티,405100,2022-11-02
IBKS제20호스팩,439730,2022-10-28
저스템,417840,2022-10-28
산돌,419120,2022-10-27
삼성스팩7호,439250,2022-10-26
플라즈맵,405000,2022-10-21
엔에이치스팩24호,437780,2022-10-20
핀텔,291810,2022-10-20
하나금융25호스팩,435620,2022-10-20
한국제11호스팩,436610,2022-10-20
샤페론,378800,2022-10-19
비스토스,419540,2022-10-18
탑머티리얼,360070,2022-10-18
에스비비테크,389500,2022-10-17
오에스피,368970,2022-10-14
모델솔루션,417970,2022-10-07
이노룰스,296640,2022-10-07
파인엠텍,441270,2022-10-07
SK증권제8호스팩,435870,2022-10-06
유안타제10호스팩,435380,2022-10-06
선바이오,067370,2022-10-05
더블유씨피,393890,2022-09-30
알피바이오,314140,2022-09-29
하나금융24호스팩,430230,2022-09-29
한화플러스제3호스팩,430460,2022-09-29
오픈엣지테크놀로지,394280,2022-09-26
케이비제22호스팩,436530,2022-09-22
하나금융23호스팩,427950,2022-09-15
키움제7호스팩,433530,2022-09-07
IBKS제19호스팩,426550,2022-08-26
신영스팩8호,430220,2022-08-26
대성하이텍,129920,2022-08-22
에이치와이티씨,148930,2022-08-09
새빗켐,107600,2022-08-04
유안타제9호스팩,430700,2022-08-04
신한제10호스팩,418210,2022-07-29
아이씨에이치,368600,2022-07-29
성일하이텍,365340,2022-07-28
에이프릴바이오,397030,2022-07-28
IBKS제18호스팩,424760,2022-07-22
루닛,328130,2022-07-21
HPSP,403870,2022-07-15
대신밸런스제12호스팩,426670,2022-07-14
영창케미칼,112290,2022-07-14
코난테크놀로지,402030,2022-07-07
넥스트칩,396270,2022-07-01
삼성스팩6호,425290,2022-06-30
엔에이치스팩23호,422040,2022-06-28
교보12호스팩,421800,2022-06-24
레이저쎌,412350,2022-06-24
보로노이,310210,2022-06-24
위니아에이드,377460,2022-06-23
케이비제21호스팩,424140,2022-06-23
비플라이소프트,148780,2022-06-20
범한퓨얼셀,382900,2022-06-17
청담글로벌,362320,2022-06-03
하나금융22호스팩,418170,2022-05-26
가온칩스,399720,2022-05-20
대명에너지,389260,2022-05-16
상상인제3호스팩,415580,2022-04-29
신영스팩7호,419270,2022-04-28
포바이포,389140,2022-04-28
신한제9호스팩,405640,2022-04-27
미래에셋비전스팩1호,412930,2022-04-21
키움제6호스팩,413600,2022-04-07
지투파워,388050,2022-04-01
유진스팩8호,413630,2022-03-31
세아메카닉스,396300,2022-03-24
공구우먼,366030,2022-03-23
유일로보틱스,388720,2022-03-18
모아데이타,288980,2022-03-10
에스케이증권7호스팩,408920,2022-03-07
노을,376930,2022-03-03
비씨엔씨,146320,2022-03-03
풍원정밀,371950,2022-02-28
스톤브릿지벤처스,330730,2022-02-25
하나금융21호스팩,406760,2022-02-25
브이씨,365900,2022-02-24
퓨런티어,370090,2022-02-23
바이오에프디엔씨,251120,2022-02-21
한국제10호스팩,409570,2022-02-21
IBKS제17호스팩,405350,2022-02-18
인카금융서비스,211050,2022-02-16
나래나노텍,137080,2022-02-08
아셈스,136410,2022-02-07
스코넥,276040,2022-02-04
이지트로닉스,377330,2022-02-04
애드바이오텍,179530,2022-01-24
케이옥션,102370,2022-01-24
디비금융스팩10호,404950,2022-01-20
오토앤,353590,2022-01-20
래몽래인,200350,2021-12-30
하나금융20호스팩,400560,2021-12-27
엔에이치스팩22호,396770,2021-12-24
교보11호스팩,397880,2021-12-20
하이제7호스팩,400840,2021-12-20
다올인베스트먼트,298870,2021-12-16
툴젠,199800,2021-12-10
대신밸런스제11호스팩,397500,2021-12-02
마인즈랩,377480,2021-11-23
알비더블유,361570,2021-11-22
바이옵트로,222160,2021-11-18
트윔,290090,2021-11-17
아이티아이즈,372800,2021-11-11
지오엘리먼트,311320,2021-11-11
디어유,376300,2021-11-10
비트나인,357880,2021-11-10
지니너스,389030,2021-11-08
피코그램,376180,2021-11-03
엔켐,348370,2021-11-01
리파인,377450,2021-10-29
지앤비에스엔지니어링,382800,2021-10-29
아이패밀리에스씨,114840,2021-10-28
차백신연구소,261780,2021-10-22
지아이텍,382480,2021-10-21
코닉오토메이션,391710,2021-10-15
씨유테크,376290,2021-10-08
아스플로,159010,2021-10-07
원준,382840,2021-10-07
하나금융19호스팩,388220,2021-10-07
엔에이치스팩20호,391060,2021-10-05
실리콘투,257720,2021-09-29
에스앤디,260970,2021-09-29
프롬바이오,377220,2021-09-28
바이오플러스,099430,2021-09-27
신한제8호스팩,393360,2021-09-27
대신밸런스제10호스팩,387310,2021-09-17
유진스팩7호,388800,2021-09-13
와이엠텍,273640,2021-09-10
에이비온,203400,2021-09-08
IBKS제16호스팩,388790,2021-09-03
바이젠셀,308080,2021-08-25
브레인즈컴퍼니,099390,2021-08-19
딥노이드,315640,2021-08-17
엠로,058970,2021-08-13
플래티어,367000,2021-08-12
원티드랩,376980,2021-08-11
HK이노엔,195940,2021-08-09
한화플러스제2호스팩,386580,2021-08-05
에브리봇,270660,2021-07-28
맥스트,377030,2021-07-27
큐라클,365270,2021-07-22
오비고,352910,2021-07-13
아모센스,357580,2021-06-25
이노뎁,303530,2021-06-18
라온테크,232680,2021-06-17
삼성머스트스팩5호,380320,2021-06-17
엘비루셈,376190,2021-06-11
에이디엠코리아,187660,2021-06-03
에코프로에이치엔,383310,2021-05-28
제주맥주,276730,2021-05-26
진시스템,363250,2021-05-26
삼성스팩4호,377630,2021-05-21
삼영에스앤씨,361670,2021-05-21
샘씨엔에스,252990,2021-05-20
씨앤씨인터내셔널,352480,2021-05-17
에이치피오,357230,2021-05-14
하이제6호스팩,377400,2021-05-10
쿠콘,294570,2021-04-28
이삭엔지니어링,351330,2021-04-21
해성티피씨,059270,2021-04-21
유진스팩6호,373340,2021-04-08
유안타제8호스팩,367480,2021-04-05
엔시스,333620,2021-04-01
자이언트스텝,289220,2021-03-24
제노코,361390,2021-03-24
라이프시맨틱스,347700,2021-03-23
바이오다인,314930,2021-03-17
DB금융스팩9호,367360,2021-03-16
네오이뮨텍,950220,2021-03-16
싸이버원,356890,2021-03-11
프레스티지바이오로직스,334970,2021-03-11
나노씨엠에스,247660,2021-03-09
하나머스트7호스팩,372290,2021-03-05
뷰노,338220,2021-02-26
하인크코리아,373200,2021-02-26
유일에너테크,340930,2021-02-25
씨이랩,189330,2021-02-24
오로스테크놀로지,322310,2021-02-24
피엔에이치테크,239890,2021-02-16
모비데이즈,363260,2021-02-10
아이퀘스트,262840,2021-02-05
신한제7호스팩,366330,2021-02-04
레인보우로보틱스,277810,2021-02-03
